Município;State;Municipality; Gross Rol [%] ; Gross Rol [%] ;Risk_period 1;Limit (Mio) 1;Exit 1; Strike 1 ;Risk_period 2;Limit (Mio) 2;Exit 2; Strike 2 ;Area (The client selects);Value per hectare (The client selects);Prize;Maximum indemnity limit;Maximum indemnity limit - STRIKE 1;Maximum indemnity limit - STRIKE 2; Amount paid per millimeter - Strike 1 ; Amount paid per millimeter - Strike 2 
Eldorado - MS;mato grosso do sul;Eldorado; 7,65 ;7,65%;11-01 / 01-01;5;0; 98 ;01-01 / 03-01;5;0; 211 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 2.558,47 ; R$ 1.183,47 
Fatima Do Sul - MS;mato grosso do sul;Fatima Do Sul; 7,65 ;7,65%;11-01 / 01-01;5;0; 188 ;01-01 / 03-01;5;0; 195 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.328,07 ; R$ 1.280,33 
Gloria De Dourados - MS;mato grosso do sul;Gloria De Dourados; 7,65 ;7,65%;11-01 / 01-01;5;0; 197 ;01-01 / 03-01;5;0; 195 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.272,13 ; R$ 1.282,63 
Guia Lopes Da Laguna - MS;mato grosso do sul;Guia Lopes Da Laguna; 7,65 ;7,65%;11-01 / 01-01;5;0; 220 ;01-01 / 03-01;5;0; 212 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.136,41 ; R$ 1.177,90 
Iguatemi - MS;mato grosso do sul;Iguatemi; 7,65 ;7,65%;11-01 / 01-01;5;0; 154 ;01-01 / 03-01;5;0; 220 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.620,11 ; R$ 1.135,87 
Itapora - MS;mato grosso do sul;Itapora; 7,65 ;7,65%;11-01 / 01-01;5;0; 203 ;01-01 / 03-01;5;0; 205 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.230,97 ; R$ 1.219,35 
Itaquirai - MS;mato grosso do sul;Itaquirai; 7,65 ;7,65%;11-01 / 01-01;5;0; 93 ;01-01 / 03-01;5;0; 199 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 2.681,87 ; R$ 1.258,79 
Ivinhema - MS;mato grosso do sul;Ivinhema; 7,65 ;7,65%;11-01 / 01-01;5;0; 198 ;01-01 / 03-01;5;0; 202 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.260,07 ; R$ 1.238,14 
Japora - MS;mato grosso do sul;Japora; 7,65 ;7,65%;11-01 / 01-01;5;0; 126 ;01-01 / 03-01;5;0; 213 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.981,68 ; R$ 1.173,27 
Jaraguari - MS;mato grosso do sul;Jaraguari; 7,65 ;7,65%;11-01 / 01-01;5;0; 248 ;01-01 / 03-01;5;0; 279 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.008,52 ; R$ 894,82 
